#PROBLEM: ../booleforce-1.2/traces/aim100-2no4; longest chain length: 10; average chain length: 3.78947368421; timeout: 20 
#original chain with index 42: [21, 19, 18, 219, 26, 22, 222, 209, 220, 27] 
#trying: [18, 209, 219, 21, 26, 220, 19, 27, 22, 222]
0	Timeout 
#trying: [19, 222, 22, 27, 219, 18, 21, 26, 220, 209]
1	1       48257078
#trying: [27, 19, 26, 219, 209, 220, 22, 21, 222, 18]
2	Timeout 
#trying: [222, 18, 21, 27, 209, 19, 219, 26, 22, 220]
3	1       46701749
#trying: [21, 222, 219, 209, 19, 27, 18, 220, 22, 26]
4	1       50743111
#trying: [222, 26, 219, 27, 209, 22, 220, 18, 21, 19]
5	1       63742110
#trying: [21, 22, 18, 219, 19, 26, 220, 27, 222, 209]
6	Timeout 
#trying: [18, 19, 26, 209, 220, 21, 219, 222, 22, 27]
7	Timeout 
#trying: [219, 22, 27, 19, 21, 220, 18, 209, 26, 222]
8	Timeout 
#trying: [26, 22, 222, 219, 220, 18, 19, 21, 209, 27]
9	Timeout 
#trying: [18, 26, 22, 222, 220, 219, 209, 27, 21, 19]
10	Timeout 
#trying: [22, 18, 222, 220, 21, 209, 26, 27, 219, 19]
11	Timeout 
#trying: [22, 219, 19, 27, 222, 209, 21, 26, 18, 220]
12	1       48273818
#trying: [26, 21, 222, 27, 18, 219, 209, 220, 22, 19]
13	1       50399359
#trying: [26, 18, 21, 22, 222, 219, 209, 27, 19, 220]
14	1       47606976
#trying: [220, 21, 18, 222, 209, 22, 19, 26, 27, 219]
15	Timeout 
#trying: [21, 27, 18, 26, 22, 19, 222, 219, 220, 209]
16	1       56489205
#trying: [22, 27, 19, 222, 18, 209, 26, 220, 21, 219]
17	1       59664358
#trying: [26, 219, 27, 222, 21, 19, 209, 22, 18, 220]
18	1       52543267
#trying: [26, 22, 209, 18, 219, 21, 27, 19, 220, 222]
19	1       58031525
