#PROBLEM: ../booleforce-1.2/traces/comp; longest chain length: 4; average chain length: 2.66666666667; timeout: 1 
#original chain with index 9: [3, 9, 8, 1] 
#trying: [1, 3, 8, 9]
0	1       36,612,079
#trying: [1, 3, 9, 8]
1	1       33,213,721
#trying: [1, 8, 3, 9]
2	1       156,352,490
#trying: [1, 8, 9, 3]
3	1       157,103,559
#trying: [1, 9, 3, 8]
4	1       31,057,544
#trying: [1, 9, 8, 3]
5	1       32,502,938
#trying: [3, 1, 8, 9]
6	1       153,921,156
#trying: [3, 1, 9, 8]
7	1       31,753,489
#trying: [3, 8, 1, 9]
8	1       32,225,075
#trying: [3, 8, 9, 1]
9	1       159,014,563
#trying: [3, 9, 1, 8]
10	1       154,069,361
#trying: [3, 9, 8, 1]
11	1       31,431,835
#trying: [8, 1, 3, 9]
12	1       32,154,510
#trying: [8, 1, 9, 3]
13	1       161,400,034
#trying: [8, 3, 1, 9]
14	1       153,231,943
#trying: [8, 3, 9, 1]
15	1       32,914,408
#trying: [8, 9, 1, 3]
16	1       33,369,354
#trying: [8, 9, 3, 1]
17	1       157,466,361
#trying: [9, 1, 3, 8]
18	1       31,490,449
#trying: [9, 1, 8, 3]
19	1       34,616,176
#trying: [9, 3, 1, 8]
20	1       30,976,048
#trying: [9, 3, 8, 1]
21	1       154,092,598
#trying: [9, 8, 1, 3]
22	1       33,048,671
#trying: [9, 8, 3, 1]
23	1       33,962,590
