

#PROBLEM: booleforce-1.2/traces/comp & longest chain length: 4 & average chain length: 2.6667 & median chain length: 2 & timeout: 7s 
8.0!9.0		0       33852191
8.0!9.1		0       37065527
8.0!9.2		0       32372220
8.0!9.3		0       34557626
8.0!9.4		0       33033890
8.0!9.5		0       35083939
8.0!9.6		0       53215649
8.0!9.7		0       32650568
8.0!9.8		0       36283803
8.0!9.9		0       33478694
8.0!9.10		0       36503710
8.0!9.11		0       35199782
8.0!9.12		0       34520310
8.0!9.13		0       35531078
8.0!9.14		0       34349249
8.0!9.15		0       41741455
8.0!9.16		0       38895006
8.0!9.17		0       33812311
8.0!9.18		0       52982671
8.0!9.19		0       39565485
8.0!9.20		0       58200949
8.0!9.21		0       39607283
8.0!9.22		0       35876759
8.0!9.23		0       33683696
8.0!10.0		0       34693952
8.0!10.1		0       36516052
8.0!11.0		0       34528989
8.0!11.1		0       52908223
8.0!12.0		0       35529511
8.0!12.1		0       33250327
8.0!13.0		0       35278997
8.0!13.1		0       32644978
8.0!13.2		0       32061292
8.0!13.3		0       33229083
8.0!13.4		0       38108031
8.0!13.5		0       35633079
8.0!14.0		0       56335936
8.0!14.1		0       38551585
8.0!15.0		0       34403491
8.0!15.1		0       34018293
8.0!16.0		0       55984596
8.0!16.1		0       33576560
8.0!16.2		0       33865326
8.0!16.3		0       57014410
8.0!16.4		0       38761615
8.0!16.5		0       46373604
8.0!16.6		0       32651671
8.0!16.7		0       34095316
8.0!16.8		0       32845532
8.0!16.9		0       32638038
8.0!16.10		0       55562695
8.0!16.11		0       32490267
8.0!16.12		0       36055652
8.0!16.13		0       55730447
8.0!16.14		0       47963253
8.0!16.15		0       33438782
8.0!16.16		0       32821060
8.0!16.17		0       37248797
8.0!16.18		0       33676132
8.0!16.19		0       33844675
8.0!16.20		0       35978969
8.0!16.21		0       53129369
8.0!16.22		0       34303773
8.0!16.23		0       32831094
8.1!9.0		0       33009383
8.1!9.1		0       35645316
8.1!9.2		0       41384986
8.1!9.3		0       33524077
8.1!9.4		0       51544032
8.1!9.5		0       33020795
8.1!9.6		0       32461656
8.1!9.7		0       38369469
8.1!9.8		0       33893851
8.1!9.9		0       33609101
