

#PROBLEM: booleforce-1.2/traces/madeup & longest chain length: 3 & average chain length: 2.6667 & median chain length: 2 & timeout: 7s 
5.0!6.0		0       158140610
5.0!6.1		0       35633654
5.0!7.0		0       33090189
5.0!7.1		0       34584789
5.0!7.2		0       35006885
5.0!7.3		0       34487651
5.0!7.4		0       32700793
5.0!7.5		0       33962538
5.1!6.0		0       33277779
5.1!6.1		0       36239911
5.1!7.0		0       34515882
5.1!7.1		0       33368441
5.1!7.2		0       33802577
5.1!7.3		0       32023954
5.1!7.4		0       36387382
5.1!7.5		0       34207256
5.2!6.0		0       32771993
5.2!6.1		0       33865171
5.2!7.0		0       54503332
5.2!7.1		0       35263943
5.2!7.2		0       53759911
5.2!7.3		0       36154188
5.2!7.4		0       33777597
5.2!7.5		0       37079659
5.3!6.0		0       50009199
5.3!6.1		0       33522204
5.3!7.0		0       34331198
5.3!7.1		0       32702737
5.3!7.2		0       34624874
5.3!7.3		0       34298843
5.3!7.4		0       35103603
5.3!7.5		0       35717731
5.4!6.0		0       34319587
5.4!6.1		0       35733942
5.4!7.0		0       34186351
5.4!7.1		0       38690808
5.4!7.2		0       43931656
5.4!7.3		0       54637430
5.4!7.4		0       33738151
5.4!7.5		0       34596078
5.5!6.0		0       53766741
5.5!6.1		0       45347915
5.5!7.0		0       33790501
5.5!7.1		0       36814084
5.5!7.2		0       34755178
5.5!7.3		0       33631063
5.5!7.4		0       42206355
5.5!7.5		0       46148267
6.0!7.0		0       39224570
6.0!7.1		1       34298416
6.0!7.2		0       35609328
6.0!7.3		0       33807356
6.0!7.4		0       33333045
6.0!7.5		0       32892174
6.1!7.0		0       35347741
6.1!7.1		0       47517991
6.1!7.2		0       34524200
6.1!7.3		0       53301583
6.1!7.4		0       36011412
6.1!7.5		0       34908026
