

#PROBLEM: booleforce-1.2/traces/madeup2trace & longest chain length: 5 & average chain length: 3.3333 & median chain length: 3 & timeout: 7s 
5.0!6.0		0       89984159
5.0!6.1		0       37709005
5.0!6.2		0       35500743
5.0!6.3		0       45920180
5.0!6.4		0       43569110
5.0!6.5		0       34591102
5.0!7.0		0       38234589
5.0!7.1		0       42355213
5.0!7.2		0       38360959
5.0!7.3		0       32748923
5.0!7.4		0       33735195
5.0!7.5		0       33871860
5.0!7.6		0       53010340
5.0!7.7		0       35542501
5.0!7.8		0       40067749
5.0!7.9		0       54548863
5.0!7.10		0       40165295
5.0!7.11		0       38451270
5.0!7.12		0       55422621
5.0!7.13		0       62671161
5.0!7.14		0       36366481
5.0!7.15		0       49223047
5.0!7.16		0       37711210
5.0!7.17		0       39591878
5.0!7.18		0       55870019
5.0!7.19		0       36841338
5.0!7.20		0       37738596
5.0!7.21		0       34418827
5.0!7.22		0       62606687
5.0!7.23		0       33128184
5.0!7.24		0       52110483
5.0!7.25		0       36702057
5.0!7.26		0       38646294
5.0!7.27		0       63894501
5.0!7.28		0       42041838
5.0!7.29		0       46946227
5.0!7.30		0       60646521
5.0!7.31		0       56029022
5.0!7.32		0       58947517
5.0!7.33		0       44414211
5.0!7.34		0       42971046
5.0!7.35		0       44996611
5.0!7.36		0       40828962
5.0!7.37		0       43740227
5.0!7.38		0       44181506
5.0!7.39		0       59947200
5.0!7.40		0       45250012
5.0!7.41		0       39179267
5.0!7.42		0       41526926
5.0!7.43		0       47059225
5.0!7.44		0       49541223
5.0!7.45		0       44092676
5.0!7.46		0       42094796
5.0!7.47		0       54424391
5.0!7.48		0       61001820
5.0!7.49		0       41110061
5.0!7.50		0       42574293
5.0!7.51		0       43566500
5.0!7.52		0       51926345
5.0!7.53		0       44974415
5.0!7.54		0       40532499
5.0!7.55		0       48817541
5.0!7.56		0       43830598
5.0!7.57		0       39670588
5.0!7.58		0       39143472
5.0!7.59		0       46201079
5.0!7.60		0       39381610
5.0!7.61		0       39926820
